,value
2000-01,-1.166387413895288
2000-02,-1.0106031003357991
2000-03,-0.9265586686607749
2000-04,-0.8880724287627964
2000-05,-0.8185083425565316
2000-06,-0.7561642335855164
2000-07,-0.8915097100799609
2000-08,-0.8594660083849716
2000-09,-0.7439400871501178
2000-10,-0.8317947706420155
2000-11,-0.6171261135137368
2000-12,-0.705295184771156
2001-01,-0.6237287555518686
2001-02,-0.4102860569242185
2001-03,-0.6194690898608716
2001-04,-0.5460396551328205
2001-05,-0.27158019663112576
2001-06,-0.47988269662158795
2001-07,-0.22907456148047248
2001-08,-0.22884058033814192
2001-09,-0.01507500637119319
2001-10,-0.22122129027971094
2001-11,-0.23738341795330795
2001-12,-0.09567182821141568
2002-01,-0.1736423450081396
2002-02,-0.08336733211723199
2002-03,-0.19086974813463392
2002-04,-0.15579581098590378
2002-05,0.0639111791054447
2002-06,0.010701403082599356
2002-07,0.02477317322957383
2002-08,-0.02833990305339136
2002-09,0.2064401133199979
2002-10,0.36583444910667207
2002-11,0.08123675300435587
2002-12,0.15026203848982314
2003-01,0.24558544697334764
2003-02,0.3620115149035831
2003-03,0.35260026593181143
2003-04,0.41856939645135843
2003-05,0.4267589297659594
2003-06,0.35474818383358414
2003-07,0.4564091349455619
2003-08,0.4872718912977916
2003-09,0.4747117816557647
2003-10,0.39878577118189973
2003-11,0.47395561199142155
2003-12,0.591588267181684
2004-01,0.5706520323037808
2004-02,0.3443576965898536
2004-03,0.5847196083353466
2004-04,0.6972606766216505
2004-05,0.7030825003974849
2004-06,0.6043151277989479
2004-07,0.6055570795735279
2004-08,0.7116867208707305
2004-09,0.720378991571416
2004-10,0.844183747839473
2004-11,0.7259805887831435
2004-12,0.830845194254622
2005-01,0.9537422344292311
2005-02,0.9412783863047834
2005-03,0.7644565437367064
2005-04,0.8324858786925116
2005-05,0.7689836000032135
2005-06,0.8699055710250683
2005-07,0.990694879202952
2005-08,0.7721102938863209
2005-09,0.9584119407750366
2005-10,0.8960243770433919
2005-11,0.9110164281331815
2005-12,0.8851818857809501
2006-01,1.0385796587421832
2006-02,0.9376549871411358
2006-03,1.056175938576759
2006-04,0.7485179534548521
2006-05,0.8471319842171517
2006-06,0.8742379394500474
2006-07,0.8948005386838799
2006-08,0.8041975861747704
2006-09,1.025364318659927
2006-10,0.8518662738088778
2006-11,0.8546836596609879
2006-12,0.9643686883161521
2007-01,0.958221170353077
2007-02,0.7310011798876094
2007-03,0.7664541474721982
2007-04,0.7595571633994368
2007-05,0.8265716598286473
2007-06,0.7084176669492319
2007-07,0.922446612900751
2007-08,0.640223775638172
2007-09,0.6913895767256882
2007-10,0.8196990570642763
2007-11,0.7088794630833412
2007-12,0.7371235731641346
2008-01,0.7318049862971515
2008-02,0.6839064277937109
2008-03,0.8574777173780574
2008-04,0.6285152123101724
2008-05,0.645623484091578
2008-06,0.5715367146098332
2008-07,0.6779382211890416
2008-08,0.7225854450319922
2008-09,0.7107266831553046
2008-10,0.6523592858250267
2008-11,0.630195718033721
2008-12,0.5848435334505571
2009-01,0.49211257006770415
2009-02,0.3655635036025167
2009-03,0.5533808370224486
2009-04,0.32026035610498327
2009-05,0.5157384229628149
2009-06,0.5489604559766611
2009-07,0.4754616457733108
2009-08,0.4733951231448234
2009-09,0.37311566543488184
2009-10,0.4895612859877617
2009-11,0.43744996406880543
2009-12,0.5961481874274619
2010-01,0.2590093497387208
2010-02,0.40049095496572373
2010-03,0.2874078244282437
2010-04,0.2174733972697154
2010-05,0.2354544448085691
2010-06,0.11828270343219127
2010-07,0.48002702689726606
2010-08,0.2735180561251499
2010-09,0.2828187649432425
2010-10,0.2164017144666094
2010-11,0.04530437438704388
2010-12,0.1333686632066693
2011-01,0.12457907075457013
2011-02,0.224513368952404
2011-03,0.15996775672197416
2011-04,-0.03983696838524259
2011-05,0.3581472288410869
2011-06,0.007029230615979543
2011-07,-0.12335553829993126
2011-08,0.10908794688117746
2011-09,-0.1294321608404411
2011-10,0.0038418335616010914
2011-11,0.11913963440187099
2011-12,-0.009727075517087735
2012-01,0.004514423634472003
2012-02,-0.03270592863310043
2012-03,-0.0009288466478028917
2012-04,-0.043746044694857836
2012-05,-0.21475239679868768
2012-06,0.0997870367026592
2012-07,-0.1857785765442688
2012-08,-0.16333596790210161
2012-09,-0.21227197194722264
2012-10,-0.05697457645235439
2012-11,-0.15793859360778198
2012-12,-0.31703321966123044
2013-01,-0.19122327042431114
2013-02,-0.20189159452873673
2013-03,-0.15438183102311495
2013-04,-0.1841313927709638
2013-05,-0.012699819724557665
2013-06,-0.151156488109424
2013-07,-0.06413603418218312
2013-08,-0.2868648015361823
2013-09,-0.3396972345846485
2013-10,-0.21006843874811998
2013-11,-0.10072387040182304
2013-12,-0.14784911771981327
2014-01,-0.1595640450279982
2014-02,-0.14650503853296742
2014-03,-0.183016124604915
2014-04,-0.07522049707606032
2014-05,-0.04390044539311071
2014-06,-0.21200559284613943
2014-07,-0.14822472142237758
2014-08,-0.17485375500289108
2014-09,-0.1844182046613306
2014-10,-0.08344051270092274
2014-11,-0.0811969259583788
2014-12,-0.11400544212088877
2015-01,-0.0461215934925685
2015-02,0.005868107239096337
2015-03,-0.23893705092685408
2015-04,-0.1569313968552028
2015-05,-0.09186235065384726
2015-06,-0.18901871393638225
2015-07,-0.11376235228358174
2015-08,-0.18376448238386175
2015-09,0.0431361477085242
2015-10,-0.11215065234407592
2015-11,-0.035015755765882846
2015-12,-0.15304134013184914
2016-01,-0.225673749878612
2016-02,-0.028166273851744195
2016-03,0.00357267534072548
